learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),model training instances,model serialized size (bytes)
2.0E7,58.9375,-1.5247173400388835E-11,2.0E7,72.8,43.01516802145311,44.82758620689655,2.0E7,-1.0
2.01E7,59.21875,-1.5319932976530668E-11,2.01E7,72.7,43.19553221416741,45.070422535211264,2.01E7,-1.0
2.02E7,59.5,-1.53926925526725E-11,2.02E7,74.7,45.817449779414915,47.835051546391746,2.02E7,-1.0
2.03E7,59.78125,-1.5465452128814333E-11,2.03E7,73.4,44.18214248242577,48.44961240310077,2.03E7,-1.0
2.04E7,60.0625,-1.5538211704956166E-11,2.04E7,73.2,43.956737947561905,44.51345755693581,2.04E7,-1.0
2.05E7,60.359375,-1.5615013479772546E-11,2.05E7,73.5,44.64728834376332,45.91836734693877,2.05E7,-1.0
2.06E7,60.640625,-1.568777305591438E-11,2.06E7,71.3,39.7028421601089,39.95815899581589,2.06E7,-1.0
2.07E7,60.921875,-1.576053263205621E-11,2.07E7,71.89999999999999,42.669441384094334,40.84210526315788,2.07E7,-1.0
2.08E7,61.203125,-1.5833292208198044E-11,2.08E7,75.1,47.29712568259747,49.183673469387756,2.08E7,-1.0
2.09E7,61.484375,-1.5906051784339877E-11,2.09E7,73.5,44.049861074749394,46.24746450304259,2.09E7,-1.0
2.1E7,61.765625,-1.597881136048171E-11,2.1E7,73.9,44.681356133375154,46.84317718940937,2.1E7,-1.0
2.11E7,62.046875,-1.6051570936623542E-11,2.11E7,73.1,44.31149129271867,46.62698412698412,2.11E7,-1.0
2.12E7,62.34375,-1.6128372711439922E-11,2.12E7,74.4,46.1091206103142,49.00398406374502,2.12E7,-1.0
2.13E7,62.625,-1.6201132287581755E-11,2.13E7,74.7,46.80179990748139,50.873786407767,2.13E7,-1.0
2.14E7,62.90625,-1.6273891863723587E-11,2.14E7,73.7,43.78708342595283,44.97907949790795,2.14E7,-1.0
2.15E7,63.1875,-1.634665143986542E-11,2.15E7,73.9,44.5388865278368,44.82029598308668,2.15E7,-1.0
2.16E7,63.484375,-1.64234532146818E-11,2.16E7,72.39999999999999,41.30057508422092,46.09374999999999,2.16E7,-1.0
2.17E7,63.78125,-1.650025498949818E-11,2.17E7,75.0,48.58400345515496,48.97959183673469,2.17E7,-1.0
2.18E7,64.15625,-1.659726775768729E-11,2.18E7,74.3,46.73972511895485,47.870182555780936,2.18E7,-1.0
2.19E7,64.453125,-1.667406953250367E-11,2.19E7,73.8,45.57992688600863,45.755693581780534,2.19E7,-1.0
2.2E7,64.734375,-1.6746829108645503E-11,2.2E7,72.5,42.40355213002136,45.759368836291905,2.2E7,-1.0
2.21E7,65.015625,-1.6819588684787336E-11,2.21E7,73.4,43.20511068597977,45.26748971193415,2.21E7,-1.0
2.22E7,65.3125,-1.6896390459603715E-11,2.22E7,71.2,40.54721335705939,43.19526627218934,2.22E7,-1.0
2.23E7,65.59375,-1.6969150035745548E-11,2.23E7,74.7,46.46816866123872,51.15830115830116,2.23E7,-1.0
2.24E7,65.875,-1.704190961188738E-11,2.24E7,71.89999999999999,41.70366374839218,40.08528784648186,2.24E7,-1.0
2.25E7,66.15625,-1.7114669188029214E-11,2.25E7,73.8,43.79612150334649,42.9193899782135,2.25E7,-1.0
2.26E7,66.453125,-1.7191470962845593E-11,2.26E7,73.4,44.64906257152965,47.32673267326732,2.26E7,-1.0
2.27E7,66.734375,-1.7264230538987426E-11,2.27E7,74.4,45.34772509905724,49.2063492063492,2.27E7,-1.0
2.28E7,67.03125,-1.7341032313803806E-11,2.28E7,72.2,42.52398279854449,42.91581108829568,2.28E7,-1.0
